Product Name,Manufacturer,Model Codes,Sport,Category,Subcategory,Canonical ID,Image Path,Image URL
Aussie Clean Sweep,AUSSIE CLEAN,TS-ACS,court-materials-accessories,clay-court-materials,aussie-clean-sweep,AUSSIE CLEAN TS-ACS,images/product_94.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Aussie-Clean-Sweep-440x407.jpg
Gator Rake,GATOR RAKE,TN-GR24 ; TN-GR72 ; TN-GR72TPRO,court-materials-accessories,clay-court-materials,gator-rake,GATOR RAKE TN-GR24,images/product_95.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Gator-Rake-440x420.jpg
SHOTMAKER PROFESSIONAL,SHOTMAKER PROFESSIONAL,TB-SHSD ; TB-SHSDLXP,ball-machines,sports-tutor-ball-machines-canada,tennis-ball-machines,SHOTMAKER PROFESSIONAL TB-SHSD,images/product_96.jpg,https://tomkosports.com/wp-content/uploads/2021/02/Shotmaker-Professional.jpg
Drag Brush,DRAG BRUSH,TS-DB ; TS-DBL ; TS-SSDB,court-materials-accessories,clay-court-materials,drag-brush,DRAG BRUSH TS-DB,images/product_97.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Drag-Brush-1-440x424.jpg
Lute/Scarifier,LUTE/SCARIFIER,TS-LS,court-materials-accessories,clay-court-materials,scarifer-lute,LUTE/SCARIFIER TS-LS,images/product_98.jpg,https://tomkosports.com/wp-content/uploads/2019/12/146-3047_x448-440x292.jpg
Hand Roller,HAND ROLLER,TS-ROLL ; TS-ROLLHD ; TS-ROLLHDL,court-materials-accessories,clay-court-materials,hand-roller,HAND ROLLER TS-ROLL,images/product_99.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Hand-Roller-440x454.jpg
Split-Roll Hand-Tow Roller,SPLIT-ROLL HAND-TOW,TS-ROLLSP,court-materials-accessories,clay-court-materials,split-roll-hand-tow-roller,SPLIT-ROLL HAND-TOW TS-ROLLSP,images/product_100.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Split-Hand-Tow-Roller-3-440x439.jpg
Scrusher,SCRUSHER,TS-SCSC,court-materials-accessories,shoe-cleaners,scrusher,SCRUSHER TS-SCSC,images/product_101.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Scrusher-440x439.jpg
Tread Blaster,TREAD BLASTER,TS-TBLAST,court-materials-accessories,shoe-cleaners,treadblaster,TREAD BLASTER TS-TBLAST,images/product_102.jpg,https://tomkosports.com/wp-content/uploads/2019/12/tread-blaster-440x436.png
Tennie Two-Step,TENNIE TWO-STEP,TS-TTSNB ; TS-TTSWB,court-materials-accessories,shoe-cleaners,tennie-two-step,TENNIE TWO-STEP TS-TTSNB,images/product_103.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Tennie-Two-Step-440x407.jpg
Court Maid,COURT MAID,TS-CM,court-materials-accessories,shoe-cleaners,court-maid,COURT MAID TS-CM,images/product_104.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Court-Maid-Shoe-Cleaner-440x367.jpg
Line Master,LINE MASTER,TS-LM,court-materials-accessories,clay-court-materials,line-master,LINE MASTER TS-LM,images/product_105.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Line-Master-440x394.jpg
Line Scrub,LINE SCRUB,TS-LSC,court-materials-accessories,clay-court-materials,line-scrub,LINE SCRUB TS-LSC,images/product_106.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Line-Scrub-440x407.jpg
HD Unicourt Net System,HD UNICOURT,TU-NET-B,multi-sport,unicourt-multinet-system,,HD UNICOURT TU-NET-B,images/product_107.jpg,https://tomkosports.com/wp-content/uploads/2019/12/68125S-1-1-scaled-e1575918367351-440x587.jpg
Unicourt Net,UNICOURT NET,TU-NETS ; TU-NETL ; TU-NETXL,multi-sport,unicourt-net,,UNICOURT NET TU-NETS,images/product_108.jpg,https://tomkosports.com/wp-content/uploads/2019/12/28024-440x440.jpg
Economy Multi-Purpose Post System,ECONOMY MULTI-PURPOSE,TU-NETEC ; TU-NETECP,multi-sport,economy-multi-purpose-post-system,,ECONOMY MULTI-PURPOSE TU-NETEC,images/product_109.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Multi-Purpose-Post-System-440x441.jpg
LED Light Extension for Unicourt System,LED LIGHT,TU-NETLSLED,accessories,court-lighting,unicourt-light-extension,LED LIGHT TU-NETLSLED,images/product_110.jpg,https://tomkosports.com/wp-content/uploads/2019/12/68513-440x440.jpg
Tennis Lighting Extensions/Arms,TENNIS LIGHTING,TL-MAS,accessories,court-lighting,tennis-lighting-extensions-arms,TENNIS LIGHTING TL-MAS,images/product_111.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Double-Fixture-Arm-440x440.jpg
Tennis Lighting Poles,TENNIS LIGHTING,TL-BP4R ; TL-BP5R,accessories,court-lighting,tennis-lighting-poles,TENNIS LIGHTING TL-BP4R,images/product_112.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Light-Pole-Steel-440x395.jpg
Stand Alone LED Light System,STAND ALONE,TU-SALSLED,accessories,court-lighting,stand-alone-led-light-system,STAND ALONE TU-SALSLED,images/product_113.jpg,https://tomkosports.com/wp-content/uploads/2020/01/68517-scaled-e1580322731846-440x460.jpg
Line Tape,LINE TAPE,TS-15CP ; TS-15DP ; TS-15HBP,court-materials-accessories,line-tapes,line-tape,LINE TAPE TS-15CP,images/product_114.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Line-Tape-1-440x439.jpg
Tape Stretcher,TAPE STRETCHER,TS-TS,court-materials-accessories,line-tapes,tape-stretcher,TAPE STRETCHER TS-TS,images/product_115.jpg,https://tomkosports.com/wp-content/uploads/2020/01/Screenshot-440x445.png
Line Tape Layout Cables,LINE TAPE,TS-TLC,court-materials-accessories,line-tapes,line-tape-layout-cables,LINE TAPE TS-TLC,images/product_116.jpg,https://tomkosports.com/wp-content/uploads/2020/01/Screenshot-1-440x334.png
2-1/2″ & 3″ Aluminum Nails,2-1/2″ &,TS-NAILS2 ; TS-NAILS3,court-materials-accessories,line-tapes,large-head-aluminum-nails,2-1/2″ & TS-NAILS2,images/product_117.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Aluminum-Nails-2-440x440.jpg
