ProductURL,ProductName,ModelCodes,Sport,Category,Subcategory,ImageURL,ImagePath,Manufacturer,ManufacturerPrefix,ManufacturerConfidence,ManufacturerMethod
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/drag-brush/,Drag Brush,TS-DB ; TS-DBL ; TS-SSDB,court-materials-accessories,clay-court-materials,drag-brush,https://tomkosports.com/wp-content/uploads/2019/12/Drag-Brush-1-440x424.jpg,images/product_97.png,Unknown,DB;DBL;SSDB,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/scarifer-lute/,Lute/Scarifier,TS-LS,court-materials-accessories,clay-court-materials,scarifer-lute,https://tomkosports.com/wp-content/uploads/2019/12/146-3047_x448-440x292.jpg,images/product_98.png,Unknown,LS,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/hand-roller/,Hand Roller,TS-ROLL ; TS-ROLLHD ; TS-ROLLHDL,court-materials-accessories,clay-court-materials,hand-roller,https://tomkosports.com/wp-content/uploads/2019/12/Hand-Roller-440x454.jpg,images/product_99.png,Unknown,ROLL;ROLLHD;ROLLHDL,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/split-roll-hand-tow-roller/,Split-Roll Hand-Tow Roller,TS-ROLLSP,court-materials-accessories,clay-court-materials,split-roll-hand-tow-roller,https://tomkosports.com/wp-content/uploads/2019/12/Split-Hand-Tow-Roller-3-440x439.jpg,images/product_100.png,Unknown,ROLLSP,low,none
https://tomkosports.com/shop/court-materials-accessories/shoe-cleaners/scrusher/,Scrusher,TS-SCSC,court-materials-accessories,shoe-cleaners,scrusher,https://tomkosports.com/wp-content/uploads/2019/12/Scrusher-440x439.jpg,images/product_101.png,Unknown,SCSC,low,none
https://tomkosports.com/shop/court-materials-accessories/shoe-cleaners/treadblaster/,Tread Blaster,TS-TBLAST,court-materials-accessories,shoe-cleaners,treadblaster,https://tomkosports.com/wp-content/uploads/2019/12/tread-blaster-440x436.png,images/product_102.png,Unknown,TBLAST,low,none
https://tomkosports.com/shop/court-materials-accessories/shoe-cleaners/tennie-two-step/,Tennie Two-Step,TS-TTSNB ; TS-TTSWB,court-materials-accessories,shoe-cleaners,tennie-two-step,https://tomkosports.com/wp-content/uploads/2019/12/Tennie-Two-Step-440x407.jpg,images/product_103.png,Unknown,TTSNB;TTSWB,low,none
https://tomkosports.com/shop/court-materials-accessories/shoe-cleaners/court-maid/,Court Maid,TS-CM,court-materials-accessories,shoe-cleaners,court-maid,https://tomkosports.com/wp-content/uploads/2021/04/Court-Maid-Shoe-Cleaner-440x367.jpg,images/product_104.png,Unknown,CM,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/line-master/,Line Master,TS-LM,court-materials-accessories,clay-court-materials,line-master,https://tomkosports.com/wp-content/uploads/2019/12/Line-Master-440x394.jpg,images/product_105.png,Unknown,LM,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/line-scrub/,Line Scrub,TS-LSC,court-materials-accessories,clay-court-materials,line-scrub,https://tomkosports.com/wp-content/uploads/2021/04/Line-Scrub-440x407.jpg,images/product_106.png,Unknown,LSC,low,none
https://tomkosports.com/shop/multi-sport/3-5-4-in-line-net-system/,3.5″/4″ In-Line Net System,TU-NET-IL,multi-sport,3-5-4-in-line-net-system,,https://tomkosports.com/wp-content/uploads/2025/11/in-line-1-440x440.jpg,images/product_107.png,Unknown,NET,low,none
https://tomkosports.com/shop/multi-sport/unicourt-multinet-system/,HD Unicourt Net System,TU-NET-B,multi-sport,unicourt-multinet-system,,https://tomkosports.com/wp-content/uploads/2019/12/68125S-1-1-scaled-e1575918367351-440x587.jpg,images/product_108.png,Unknown,NET,low,none
https://tomkosports.com/shop/multi-sport/unicourt-net/,Unicourt Net,TU-NETS ; TU-NETL ; TU-NETXL,multi-sport,unicourt-net,,https://tomkosports.com/wp-content/uploads/2019/12/28024-440x440.jpg,images/product_109.png,Unknown,NETS;NETL;NETXL,low,none
https://tomkosports.com/shop/multi-sport/economy-multi-purpose-post-system/,Economy Multi-Purpose Post System,TU-NETEC ; TU-NETECP,multi-sport,economy-multi-purpose-post-system,,https://tomkosports.com/wp-content/uploads/2021/04/Multi-Purpose-Post-System-440x441.jpg,images/product_110.png,Unknown,NETEC;NETECP,low,none
https://tomkosports.com/shop/accessories/court-lighting/unicourt-light-extension/,LED Light Extension for Unicourt System,TU-NETLSLED,accessories,court-lighting,unicourt-light-extension,https://tomkosports.com/wp-content/uploads/2019/12/68513-440x440.jpg,images/product_111.png,Unknown,NETLSLED,low,none
https://tomkosports.com/shop/accessories/court-lighting/tennis-lighting-extensions-arms/,Tennis Lighting Extensions/Arms,TL-MAS,accessories,court-lighting,tennis-lighting-extensions-arms,https://tomkosports.com/wp-content/uploads/2021/04/Double-Fixture-Arm-440x440.jpg,images/product_112.png,Unknown,MAS,low,none
https://tomkosports.com/shop/accessories/court-lighting/tennis-lighting-poles/,Tennis Lighting Poles,TL-BP4R ; TL-BP5R,accessories,court-lighting,tennis-lighting-poles,https://tomkosports.com/wp-content/uploads/2021/04/Light-Pole-Steel-440x395.jpg,images/product_113.png,Unknown,BP4R;BP5R,low,none
https://tomkosports.com/shop/accessories/court-lighting/stand-alone-led-light-system/,Stand Alone LED Light System,TU-SALSLED,accessories,court-lighting,stand-alone-led-light-system,https://tomkosports.com/wp-content/uploads/2020/01/68517-scaled-e1580322731846-440x460.jpg,images/product_114.png,Unknown,SALSLED,low,none
https://tomkosports.com/shop/court-materials-accessories/line-tapes/line-tape/,Line Tape,TS-15CP ; TS-15DP ; TS-15HBP,court-materials-accessories,line-tapes,line-tape,https://tomkosports.com/wp-content/uploads/2019/12/Line-Tape-1-440x439.jpg,images/product_115.png,Unknown,15CP;15DP;15HBP,low,none
https://tomkosports.com/shop/court-materials-accessories/line-tapes/tape-stretcher/,Tape Stretcher,TS-TS,court-materials-accessories,line-tapes,tape-stretcher,https://tomkosports.com/wp-content/uploads/2020/01/Screenshot-440x445.png,images/product_116.png,Unknown,TS,low,none
https://tomkosports.com/shop/court-materials-accessories/line-tapes/line-tape-layout-cables/,Line Tape Layout Cables,TS-TLC,court-materials-accessories,line-tapes,line-tape-layout-cables,https://tomkosports.com/wp-content/uploads/2020/01/Screenshot-1-440x334.png,images/product_117.png,Unknown,TLC,low,none
https://tomkosports.com/shop/court-materials-accessories/line-tapes/large-head-aluminum-nails/,2-1/2″ & 3″ Aluminum Nails,TS-NAILS2 ; TS-NAILS3,court-materials-accessories,line-tapes,large-head-aluminum-nails,https://tomkosports.com/wp-content/uploads/2019/12/Aluminum-Nails-2-440x440.jpg,images/product_118.png,Unknown,NAILS2;NAILS3,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/polyethylene-court-covers-6oz/,Full Tennis Court Cover,TS-TCC,court-materials-accessories,clay-court-materials,polyethylene-court-covers-6oz,https://tomkosports.com/wp-content/uploads/2019/12/30105-e1575917908146-440x274.jpg,images/product_119.png,Unknown,TCC,low,none
https://tomkosports.com/shop/tennis/rebounders/in-ground-court-rebound-net/,In-Ground Net Rebounders,TB-RBNIG ; TB-RBNIG10,tennis,rebounders,in-ground-court-rebound-net,https://tomkosports.com/wp-content/uploads/2019/12/In-Ground-Rebounder-5-440x440.jpg,images/product_120.png,Unknown,RBNIG;RBNIG10,low,none
https://tomkosports.com/shop/tennis/rebounders/rebounder-deluxe/,Rebounder Deluxe,TB-RBND,tennis,rebounders,rebounder-deluxe,https://tomkosports.com/wp-content/uploads/2022/07/rebounder-deluxe-440x378.jpg,images/product_121.png,Unknown,RBND,low,none
https://tomkosports.com/shop/tennis/rebounders/rally-master/,Rally Master Backboard,TB-RM2,tennis,rebounders,rally-master,https://tomkosports.com/wp-content/uploads/2019/12/Tomar-Park-Sioux-Falls-SD2.jpg,images/product_122.png,Unknown,RM2,low,none
https://tomkosports.com/shop/tennis/rebounders/rally-master-catch-net/,Rally Master Catch Net,TB-RM3,tennis,rebounders,rally-master-catch-net,https://tomkosports.com/wp-content/uploads/2021/04/Rally-Master-Catch-Net-440x441.jpg,images/product_123.png,Unknown,RM3,low,none
https://tomkosports.com/shop/accessories/ball-pick-ups/scorekeepers/scor-post-pro/,Scor-Post® Pro,TA-SCP ; TA-SCPS ; TA-CSPM,accessories,ball-pick-ups,scorekeepers,https://tomkosports.com/wp-content/uploads/2021/03/Scor-post-440x411.jpg,images/product_124.png,ScorePro,SCP;SCPS;CSPM,high,prefix
https://tomkosports.com/shop/accessories/ball-pick-ups/scorekeepers/professional-tennis-scorekeeper/,Professional Tennis Scorekeeper,TA-PTSKP,accessories,ball-pick-ups,scorekeepers,https://tomkosports.com/wp-content/uploads/2023/06/pro-tennis-scorekeeper-440x481.jpg,images/product_125.png,Unknown,PTSKP,low,none
https://tomkosports.com/shop/accessories/ball-pick-ups/scorekeepers/loveone-pickleball-scoreboard/,LoveOne Pickleball Scoreboard,TA-LOP,accessories,ball-pick-ups,scorekeepers,https://tomkosports.com/wp-content/uploads/2020/04/LoveOne-pickleball-scorekeeper-durable-visible-easy-140-3503_1024x1024-440x587.gif,images/product_126.png,Unknown,LOP,low,none
